id,Amostrado
"""1042140818621050881""",0
"""1040377275303297026""",0
"""1040968016517718017""",0
"""1039332265745104897""",0
"""1042617631247921153""",0
"""1043663218126807042""",1
"""1038300013913427968""",0
"""1039954245930426368""",0
"""1035578506653167617""",0
"""1039455723334389761""",0
"""1043876674608214017""",0
"""1039507622171308032""",1
"""1041146324622761984""",0
"""1045104595008139264""",0
"""1038837966221844480""",0
"""1037356252454707200""",0
"""1041754938517401600""",0
"""1037179328793141249""",0
"""1039891921475387392""",0
"""1042913610949898240""",0
"""1038279034965307393""",0
"""1037453779015094272""",0
"""1043516776879919105""",0
"""1035543940613763074""",1
"""1042129718101848073""",0
"""1036411644673511424""",0
"""1041794946448142336""",0
"""1046485288611004416""",1
"""1040686968840105984""",1
"""1042944120258547713""",0
"""1039812582595547136""",0
"""1035711514928467968""",0
"""1035969517732732929""",0
"""1036806095984095234""",0
"""1039234943338119168""",0
"""1035513322848878593""",0
"""1038205680686129153""",1
"""1043214058948845568""",0
"""1038803019561758721""",0
"""1035497310493581313""",0
"""1036298475879710725""",0
"""1036629389763461120""",0
"""1043665922219810816""",0
"""1037843503986958336""",0
"""1040349553805979654""",0
"""1045331008114044928""",0
"""1046109080123846662""",0
"""1042961478779846657""",0
"""1043958772253757446""",0
"""1045765395263770628""",1
"""1036853974786289664""",0
"""1036637883371794432""",0
"""1045319795267252224""",0
"""1036026720787279873""",0
"""1036792844986605569""",0
"""1042160050125594624""",0
"""1043572503694794758""",0
"""1046222069539704832""",1
"""1039216250038218753""",0
"""1041281568508129280""",0
"""1045123848985866241""",0
"""1045065401095409665""",1
"""1043225636964368385""",0
"""1044004270335545344""",0
"""1039337310805012480""",0
"""1037662932115644417""",0
"""1036962200966115331""",0
"""1045153292479868928""",0
"""1037350696495063041""",0
"""1043954108800086016""",1
"""1039250105491177472""",0
"""1039543944181428225""",0
"""1039088497729196032""",0
"""1036334383119171585""",1
"""1041876622918512640""",1
"""1046543086673891328""",0
"""1046835237005795328""",0
"""1042006151393509377""",0
"""1044655279059734528""",0
"""1045070292601765890""",1
"""1037295203302944769""",0
"""1037007598304813056""",0
"""1042762829672022016""",1
"""1041688536297046017""",1
"""1037141660172513280""",0
"""1046199560232751104""",0
"""1041527374607777792""",1
"""1040763708375482368""",0
"""1043533493173653504""",1
"""1044378042808897537""",1
"""1042179246683291648""",0
"""1046515144854056960""",0
"""1037392725245669376""",0
"""1037343968185540608""",0
"""1044629898852208645""",0
"""1037827826920112129""",0
"""1046388068033417218""",0
"""1045053353259139072""",0
"""1042181417575374850""",1
"""1041844441529700353""",1
"""1040358244101832705""",0
"""1045771902386655236""",0
"""1035879616223870976""",1
"""1045061416577880068""",0
"""1036280358080135168""",0
