id_usuario;followers
400400455; "4485"
545009156; "4476"
2845390120; "4446"
298195731; "4423"
2343831636; "4418"
367354771; "4374"
2849168466; "4327"
133116908; "4277"
4261685246; "4271"
1349700348; "4173"
138492825; "4170"
1145882780; "4168"
493417084; "4145"
35916831; "4123"
231920921; "4113"
182644224; "4106"
25406707; "4088"
370933018; "4079"
67366599; "4055"
575215377; "4053"
47642334; "4050"
578771859; "4032"
4149696259; "3980"
772639788; "3975"
173199534; "3972"
377974955; "3971"
355519466; "3953"
7251172; "3936"
182073130; "3906"
2590198015; "3882"
36418377; "3825"
2211408620; "3788"
424648084; "3781"
894337118679556096; "3778"
2253518185; "3765"
2286060606; "3759"
74466164; "3743"
220646590; "3739"
2719415849; "3731"
107670705; "3715"
2864100777; "3699"
34407494; "3696"
1561611883; "3691"
825101684946898944; "3684"
17652727; "3678"
3228532852; "3659"
188031946; "3648"
2434523925; "3627"
337462663; "3587"
932757064522268673; "3584"
3205955609; "3564"
4385092941; "3544"
1681312274; "3525"
315521556; "3511"
48518123; "3499"
3013291403; "3483"
1479764881; "3471"
3698765055; "3458"
16349463; "3458"
10799642; "3435"
123025081; "3433"
448084384; "3428"
1602350520; "3391"
2990556737; "3386"
116502799; "3385"
129342144; "3376"
48526529; "3362"
1967251616; "3292"
914964354252099586; "3267"
335757552; "3230"
1680855678; "3221"
909086071; "3214"
23619589; "3204"
816157040; "3181"
2899938279; "3179"
40277199; "3171"
134460106; "3171"
1009157360709971971; "3168"
430014829; "3163"
15475908; "3151"
832338648234356736; "3146"
3234316700; "3146"
723784119998660608; "3143"
2668850391; "3136"
2290315988; "3130"
3517011736; "3116"
368638032; "3086"
2852481735; "3059"
69053858; "3046"
91657718; "3032"
2925340929; "3021"
2834253027; "2990"
2415164707; "2982"
30547095; "2980"
68855739; "2979"
1831992301; "2969"
709488239523074048; "2954"
1534960500; "2931"
965629505925771264; "2907"
92741652; "2894"
10710422; "2891"
899392580848427009; "2875"
90444787; "2862"
1952211163; "2854"
143594813; "2846"
110569443; "2834"
4898673636; "2833"
2494341560; "2820"
846483333903200256; "2799"
26561149; "2798"
1914655874; "2796"
76810481; "2785"
86618694; "2783"
1449637814; "2776"
77826352; "2769"
553771447; "2766"
52244750; "2752"
4016135776; "2750"
717084157218844672; "2746"
18962507; "2743"
362123272; "2736"
2878778734; "2720"
21890926; "2707"
148473475; "2693"
2753926834; "2688"
2174482233; "2683"
945383315175018498; "2674"
492184707; "2671"
21892364; "2669"
4902715181; "2663"
2863414162; "2630"
2347306717; "2619"
874805416428961792; "2616"
76983412; "2612"
1017413287; "2606"
23186800; "2604"
70887911; "2589"
810508838042554368; "2578"
137403232; "2545"
1455572922; "2538"
827547891799642113; "2529"
2477225839; "2526"
957431344937799680; "2514"
875072728088399872; "2503"
995766266857230336; "2497"
82054005; "2493"
738042698112872452; "2470"
24080132; "2469"
308715731; "2461"
41728708; "2456"
857793932385816576; "2451"
1715670576; "2451"
4924999011; "2449"
51932941; "2438"
1444312820; "2432"
9423932; "2431"
499982760; "2428"
4839308495; "2414"
248816909; "2395"
77981123; "2391"
321153437; "2368"
374298733; "2358"
3517227622; "2353"
565497352; "2341"
803567591692402688; "2318"
888380232159428608; "2312"
15992092; "2308"
40283186; "2306"
58323763; "2277"
4020844563; "2274"
38728575; "2256"
66179076; "2254"
13848272; "2251"
302813552; "2247"
498426154; "2244"
952107053664948224; "2239"
2338703322; "2236"
90105122; "2230"
34313570; "2230"
323301102; "2230"
2147700098; "2216"
27135701; "2211"
16005728; "2199"
69877571; "2191"
37956187; "2180"
38357543; "2179"
219728348; "2170"
760989290008547328; "2165"
891466441752543232; "2158"
395615805; "2157"
703637255353720832; "2153"
723203227135651840; "2150"
56137447; "2144"
948539286; "2143"
2244418783; "2140"
474118167; "2139"
2820009808; "2138"
721785569018298368; "2135"
2932158309; "2129"
215666748; "2128"
18166671; "2115"
2264679271; "2103"
12543242; "2094"
295253193; "2089"
2494510950; "2087"
36439280; "2077"
2926110813; "2073"
53484770; "2058"
926132526623744000; "2057"
242307530; "2055"
310390756; "2039"
53699681; "2036"
3438773733; "2026"
3308754015; "2016"
176890566; "2000"
2298491016; "1984"
35890299; "1983"
910644574732865536; "1982"
708423643898970112; "1976"
37792409; "1969"
314977219; "1966"
2480367727; "1962"
65691803; "1961"
83112415; "1956"
52349819; "1954"
3337622781; "1954"
3345989931; "1951"
4635883175; "1948"
160762194; "1940"
72917379; "1939"
438595035; "1935"
53733700; "1932"
3208524508; "1925"
160553992; "1925"
14350964; "1920"
42414360; "1914"
892138296725438464; "1911"
706598579750748163; "1908"
239512890; "1903"
34326165; "1899"
234869520; "1898"
2939655393; "1896"
91106374; "1895"
43623335; "1895"
237325424; "1893"
91475981; "1891"
14958283; "1880"
860178510136135680; "1879"
311128659; "1878"
30230538; "1868"
794530323904204800; "1864"
2586977817; "1864"
436651855; "1862"
347279897; "1860"
288872648; "1858"
1334838757; "1854"
3495909027; "1851"
25917829; "1849"
311705961; "1848"
182550503; "1846"
544980546; "1844"
23403614; "1843"
69981266; "1842"
17258401; "1830"
208610451; "1825"
49010108; "1824"
1355045414; "1824"
17231726; "1820"
2653435310; "1816"
19882321; "1806"
2362123842; "1804"
63163156; "1799"
167192733; "1798"
10152982; "1797"
50316295; "1794"
495248358; "1784"
678023; "1777"
785549397715279872; "1775"
175758960; "1772"
288330146; "1769"
17920785; "1759"
763933482032599040; "1758"
2286809752; "1756"
1205920657; "1756"
55373325; "1755"
626123557; "1753"
939564469; "1752"
2570201531; "1752"
101273669; "1748"
1377727118; "1735"
334096607; "1728"
2448066837; "1723"
826978540302299137; "1701"
147954297; "1701"
783563453696999424; "1689"
1655516684; "1688"
339942961; "1685"
326861091; "1677"
1318282885; "1677"
2794947408; "1670"
458264778; "1664"
246057879; "1663"
3064195505; "1658"
436805107; "1656"
308169730; "1650"
142021873; "1650"
918977131; "1639"
245195894; "1636"
50520621; "1632"
4495279997; "1632"
67052109; "1631"
2733708877; "1625"
801142589353234432; "1623"
20250010; "1617"
1237317834; "1616"
284040531; "1615"
107063790; "1614"
274735932; "1611"
760274665029992448; "1608"
141427067; "1606"
15487358; "1601"
2853893691; "1600"
57061070; "1598"
2405515002; "1598"
134895808; "1598"
792292593329704960; "1595"
44438933; "1586"
67735406; "1583"
57221568; "1582"
14282032; "1582"
2885177206; "1569"
3308869996; "1568"
249869615; "1566"
736930153; "1563"
285078219; "1559"
52886134; "1552"
2918633398; "1546"
1395310387; "1541"
2230101354; "1537"
740701518626721792; "1535"
3209768819; "1529"
854759945119596551; "1524"
3130832163; "1524"
31113756; "1519"
913110895815008256; "1515"
1281274050; "1512"
3383240093; "1511"
107192405; "1510"
159242878; "1508"
56550490; "1507"
207577470; "1501"
794532566439260160; "1500"
98381497; "1496"
985181131074138114; "1492"
63862850; "1487"
35030878; "1487"
2265234886; "1484"
418055868; "1478"
50480074; "1473"
193713493; "1470"
94707569; "1469"
878406146; "1467"
358875618; "1467"
190031406; "1467"
417313444; "1466"
571355898; "1465"
109713523; "1462"
1552587206; "1461"
15317595; "1454"
50134555; "1449"
1688391516; "1449"
781995847244517376; "1448"
376255141; "1448"
2225147197; "1446"
701366623744225280; "1444"
808885544084238336; "1443"
300576314; "1441"
71102546; "1436"
26670607; "1432"
151531877; "1432"
27155923; "1431"
1143914750; "1426"
710615799719833600; "1420"
43597075; "1420"
14624835; "1416"
751519409051754496; "1410"
2832293313; "1409"
240007365; "1401"
552112632; "1400"
241285541; "1399"
43256357; "1389"
148410798; "1389"
15646642; "1387"
56143725; "1386"
3111696296; "1384"
60392960; "1383"
713318124242731009; "1380"
916419468884135936; "1378"
287038108; "1374"
938911958; "1365"
106830010; "1359"
983022622249312257; "1353"
953058541602070528; "1353"
865700579179417600; "1348"
912597014; "1338"
228869191; "1335"
39101001; "1334"
364511845; "1330"
307009182; "1330"
69901749; "1329"
41175313; "1329"
856908295742861312; "1327"
15214232; "1327"
816316453; "1326"
68419552; "1326"
803394156609597440; "1324"
2167266656; "1324"
30845162; "1323"
977372089782099970; "1321"
78998798; "1318"
138128411; "1317"
794935284; "1310"
2451361243; "1304"
398761732; "1302"
2949702203; "1302"
927296800742170624; "1300"
191965160; "1300"
2358869989; "1298"
38045019; "1296"
988904388046573568; "1295"
117780758; "1295"
8201462; "1289"
2870632870; "1289"
4188364762; "1283"
35604602; "1282"
2573828938; "1278"
82350646; "1269"
42276527; "1268"
234330605; "1265"
128655908; "1265"
931257316304924672; "1262"
2260454084; "1253"
211816231; "1252"
190854238; "1249"
871522682352930816; "1244"
2924732984; "1241"
758796551510720513; "1237"
1425949086; "1236"
812141888325173249; "1233"
4896388137; "1232"
324384050; "1232"
2422300385; "1232"
83151880; "1230"
26755498; "1230"
18818881; "1227"
106638344; "1224"
309672130; "1223"
13098682; "1223"
4631537297; "1222"
58811453; "1215"
4013550681; "1210"
428479908; "1209"
166234605; "1209"
15613204; "1209"
162178559; "1208"
102228585; "1206"
390177415; "1203"
41390243; "1202"
205475730; "1202"
109004192; "1202"
831772476; "1201"
44097116; "1200"
4143526607; "1200"
2172075114; "1200"
1458047184; "1200"
634758081; "1197"
469324826; "1195"
303275670; "1191"
1092029966; "1189"
7710762; "1186"
1409278580; "1184"
34266656; "1178"
751873; "1177"
253260645; "1177"
220858028; "1177"
1002419821; "1175"
396282463; "1171"
2352117487; "1170"
491757531; "1169"
77020045; "1167"
2324569792; "1167"
47168844; "1165"
841783755740217344; "1164"
2752502951; "1164"
3497609355; "1163"
225839809; "1163"
73682565; "1158"
65739292; "1157"
135001089; "1153"
2504718870; "1152"
2290705845; "1140"
1681911204; "1139"
312883408; "1138"
1387476174; "1137"
64190300; "1135"
14619252; "1134"
4552432163; "1129"
3328518911; "1129"
902281216510054401; "1127"
2653895222; "1125"
250202811; "1122"
2205401665; "1118"
425178190; "1116"
380311061; "1113"
1114813572; "1113"
858376742; "1110"
601406693; "1109"
108714317; "1107"
73397997; "1104"
839235671927762944; "1100"
4344718522; "1100"
3409553488; "1097"
16854966; "1097"
1157744852; "1095"
25011048; "1092"
800882953; "1089"
273085511; "1088"
17294834; "1085"
736919312431210498; "1084"
3475252047; "1079"
2161997077; "1079"
262778013; "1075"
909774924; "1072"
2382968403; "1072"
2679342783; "1071"
491593364; "1068"
118139952; "1065"
525729482; "1064"
2869468822; "1063"
54968245; "1058"
415757848; "1058"
3130874974; "1056"
229920799; "1054"
1975626722; "1054"
4449456135; "1052"
721457976; "1050"
622264218; "1049"
