id;texto
1013569648401534976; "eu: a minha mãe: clb que na sua idade eu já trabalhava, ajudava minha mãe, fazia as coisas em casa, cuidava da minha irmã, curava o câncer, lutava contra monstros gigantes na cidade de townsville, combatia o aquecimento global e tomava banho gelado sem reclamar"
1022208495947538432; "@donloficial @donloficial o que você pensa sobre a indústria agropecuária ser a maior responsável pela emissão de 69% de gases poluentes e 80% do desmatamento que contribuem com o aquecimento global? #respondedon"
1021786938087333891; "estar quente o suficiente pra você precisar dormir na sala é claramente um indicativo de aquecimento global. jesus amado, me ajuda"
1019635847405211649; "@jgaseixas colocando no mesmo bolo aquecimento global, terra plana, holocausto e ditadura, acho que quem pegou o caminho errado foi você..."
1017581475192102913; "ai gente eu fico toda puta falando um monte aqui mas olho as noticia do aquecimento global do desmatamento das matas virgens e começo a repensar se eu não deveria ser mais séria e bater nos carnivoros"
1018773098940780549; "o efeito estufa na real é um grande problema, mai cês já pararam pra reparar nas mulheres?"
1024118314979782658; "só esperando algum jornalista no #rodaviva falar que o aquecimento global é culpa do bolsonaro."
1014924109443227648; ""lol que pessoas burras, o aquecimento global não existe, se existisse agora durante o &lt;verão&gt; estaria calor mas está frio e isso prova que, se existe alguma coisa sequer, é o arrefecimento global, que até mais agora é só frio e nuvens""
1018566800009842690; "eu só tenho pena das pessoas que não acreditam em aquecimento global"
1021152033825542144; "é o apocalipse! o que resta a seguir descobrir que os eucaliptos são a solução para o aquecimento global que bruno de carvalho é sócio do benfica"
1015581334721396738; "@estadao @nytimes aquecimento global, mas pra ajudar tem um bando de idiota que fala que isso não existe que é alteração natural etc, depois que tem seca, enchente ou mudança climática matando um monte por aí, o pessoal coloca até a culpa em deus,"
1021186601362382849; "comecei vendo ideias de tatuagens e terminei com um infográfico sobre aquecimento global"
1015015395944787969; "terra teve um aquecimento global há mais de 500 milhões de anos https://t.co/8a6q19fbi3"
1022927274964910080; "“o aquecimento global é, além do mais, uma fraude perpetrada por cientistas com interesses dissimulados, mas que têm necessidade urgente de fazerem cursos de geologia, lógica e filosofia da ciência.”"
1021158834004426753; "@gugachacra nao existe aquecimento global... existe antas globais..."
1020397837832552448; "@exame porra e o pessoal ainda acredita nessa merda de aquecimento global?"
1019666883300200449; "descobri que meu tio tem twitter p compartilhar as pesquisa dele e flar sobrr aquecimento global. to quase mandando uma mensagem perguntando cade os meme"
1015747266412457984; "estudo alerta que aquecimento global pode ser duas vezes pior do que o estimado! confira!: via @youtube"
1021759559952752641; "abra sua mente/sensibilidade yoko ono ????? e comprenda a necessidade de reagirmos,"na prática", a mudança climática negativa, produzida pelo ser humano longo de anos. seja voluntaria! você pode aprender o que escolher! dinheiro não é tudo! @yokoono c.c. @paulmccartney"
1018262609714434049; "@conexaoplaneta faz calor: aquecimento global faz frio: aquecimento global deveriam mudar esse parametro para inventar que existe mudança climática"
1015960290331066369; "gostei de um vídeo @youtube ção de co2 em sedimentos pode ser viável contra aquecimento global - space"
1016303322960195584; "gostei de um vídeo @youtube 08 - mudanças climáticas - aquecimento global"
1022553248945844225; "@anarautter só porque ela contribui pro aquecimento global?"
1015705810079494145; "@exame ah vai se fuder,que porra de aquecimento global é meu ovo,vou continuar com o churrasco e foda-se."
1015948772181008386; "@fernandatanaka_ fareii minha parte hoje e amanhã! mas, é só o de domingo que contribui para o aquecimento global, então amanhã estará ok."
1023385230944681985; "o antagonista entrevista ricardo felício – íntegra: "aquecimento global ... via @youtube"
1021568434658787328; "@metsul @afp em 1976 alguém falava de aquecimento global?"
1019208139915264000; "a minha mãe está a incentivar-me a ser uma hoe e diz que o aquecimento global existe porque eu tomo banho"
1021065720954802176; "@gugachacra aquecimento global é balela."
1021370311579783168; "@guajajarasonia @guilhermeboulos não existe aquecimento global pela ação humana e co2 é o gás da vida. quiser falar sobre microclima, formas de se evitar sulfato de enxofre e outros gases nocivos através de filtros? blza, mas esqueça onu e ipcc. golpistas! pesquise ou converse com luis carlos molion! sério!"
1015789536109125633; "@ajulysantos a cada churrasco seu utilizando carvão um urso polar morre na antártida devido ao aquecimento global"
1024436594403680262; "uma geleira no meio do litoral que topper hein aquecimento global #otemponãopara"
1015605138671665153; "fodasse o aquecimento global bota carvão de ipê ou de pau-brasil ainda por cima"
1015103830315454464; "gostei de um vídeo @youtube antagonista entrevista ricardo felício – íntegra: "aquecimento global é"
1021367748524478465; "@jairbolsonaro exato. investir mais em ciência, educação e em *formas de diminuir o progresso do aquecimento global*."
1015941364733923328; "gostei de um vídeo do @youtube o antagonista entrevista ricardo felício – íntegra: "aquecimento global"
1019191542609739776; "com aquecimento global, falta de geladeira e ar condicionado vai afetar mais de 1 bilhão de pessoas"
1019410596238852096; "@danicostl aquecimento global"
1021335567173324800; "@gugachacra e o idiota do trump acha que não tem aquecimento global ! triste pelos cedros ..."
1021849804299743233; "@arquimedes1143 um homem ouve a lenga lenga do aquecimento global\ alterações climáticas - o ecosistema delicado do krill das baleias e os algae que transformam co2 em o2 e eu tipo hmmm, já tentaram correlacionar o nivel de actividade solar com a temperatura do planeta?"
1021298385876398080; "o que esperar de consciência e educação ambiental de um povo que acha o máximo postar foto na praia em pleno inverno com 30°c? essa é a prova viva de que brasileiro está cagando para o meio ambiente e os efeitos catastróficos do aquecimento global!"
1021704881797771264; ""ai aquecimento global é uma invenção dos cientistas""
1018252287771398147; "nando moura x ricardo felício - aquecimento global. via @youtube"
1023530825651052544; "cadáveres desaparecidos durante décadas sob geleiras suíças emergem com aquecimento global"
1024111724893495296; "@cmtcleriston é a mesma coisa de dizer que não existe aquecimento global porque você ta com frio"
1015748489043693568; "@boscardin mas e o aquecimento global ?"
1015648456940060672; "@canal_90 esse pessoal fala até que cachorro está provocando o aquecimento global,o que dirá do churrascão de domingo! essas revistas eram interessantes antigamente hoje só falam besteiras."
1015901719656587264; "então quer dizer que o churrasco de domingo é o vilão do aquecimento global meus deus, hein!"
1013600425130516481; "@showdavida ahhh não @showdavida , ninguém aguenta mais esses assuntos: empoderamento, feminismo, movimento lgbtqdfgred, imigração, trump, aquecimento global, anita e outras porcarias toda semana. vtnc"
1017530387218739206; "@jpsilva07 @thiagoknunes você nega que existe aquecimento global?"
1020454557812494338; "@anapaulavolei esse é um não debate! aquecimento global é apenas uma das consequencias e até certo ponto questionável da poluição! as pessoas morrem por causa de poluição! trump não é um gênio por legal liberar a produção de carvão muito ao contrário!"
1018541343096729600; "preocupada com o aquecimento global e eu não ter um emprego pra chamar de meu ?"
1018994914124877826; "@desesquerdizada sério que o perfil acha que não existe aquecimento global tb? e nas vacinas vcs também não acreditam?"
1021216253447495680; "vendo reportagem do fantástico sobre falta de água no mundo e tentando entender como tem gente que acha que aquecimento global e escassez de recursos naturais é mentira"
1021172003011743744; "@guajajarasonia papo furado de efeito estufa, mas um esquema para se promover e ganhar dinheiro alheio!!"
1019263094009319424; "@camaradeputados não existe aquecimento global."
1021844481778302976; "@veja veja falava em aquecimento global antropogênico, depois falava sobre isso com mais ceticismo, e agora fala de novo em aquecimento global antropogênico."
1024436288542453761; "vendo a novela das 7 e pensando em como o aquecimento global é foda ne"
1021779351174635520; "aquecimento global? culpa sua que anda de carro e toma banho de 20 min machismo/racismo/homofobia? culpa sua que não se empoderou crueldade animal? culpa sua que come carne desemprego? culpa sua que não se qualifica pirataria? culpa sua que é desonesto violência? culpa sua que decide ser bandido"
1017015176695111682; "@g1 aquecimento global? vocês ainda não desistiram desse troço?"
1014492650253291521; "@mmeioambiente qual o nome do imbecil? não existe efeito estufa"
1020376957865922561; "tipo negar que o aquecimento global existe, que é tudo uma conspiração globalista"
1023651401480777730; "#conhecereleições2018 temos que focar também na aceitação da realidade, as pessoas não discordam das teorias do bóson de higgs ou do colapso da informação nos buracos negros, discordam da ciência que afeta a forma delas de ver o mundo, aquecimento global, evolução, etc..."
1021531415643607042; "@araujo_kimy o da terra plana é o mesmo do "aquecimento global é uma farsa"?"
1017146029777539072; "@pirulla25 cadê o aquecimento global, seu pedaço de merda. o único aquecimento deve ser no teu cu, que adora levar uma piroca. um frio desse, porra. tira esse bigode da testa."
1022200608365928449; "@catarinaash00 isto significa que, ao nos preocuparmos tanto com o aquecimento global, a unica coisa que ganhamos é mais tempo para desenvolver tecnologias que iriam controlar os seus danos ( inevitáveis )"
1022139742123700224; "segundo bolsonaro, aquecimento global é bobagem e vai retirar a carta de intenção de combate ao aquecimento global"
1024366600571510784; "os cientistas estudaram liberar gases de efeito estufa pra aumentar a temperatura de marte, gente"
1021779503754997762; "@medes_arqui @carapanarana se quando batesse recorde negativa chamassem de "resfriamento global".... estariam errados mas pelo menos seriam coerentes. porque todo extremo de temp no mundo agora é aquecimento global"
1019227956928008192; ""amigo da terra 19 de julho - efeito estufa" - https://t.co/qjbajxsx8i"
1015249613815762944; "@exame toda a cadeia produtiva do churras: 1) a criação de gado: 2) desmata para criar gado 3) gado produz gas metano 4)consumo de agua para o beneficiamento da carne 5)churras com carvão. agora, aquecimento global, ainda tenho dúvidas se é fato."
1015274346519126021; "@exame não há aquecimento global. notícias ridículas."
1015956523405795328; "@exame beleza, aquecimento global continuará. já estou assando minha picanha."
1023988063150718976; "@estadaointer "aquecimento global não existe" e "a terra é plana""
1021196139058663424; "@f_montibello @guajajarasonia @midianinja porque o trump acha que o aquecimento global é uma farsa, acho que ele nunca foi em uma aula de biologia ou talvez ele só se faça de tonto mesmo"
1016851421285756929; "o efeito estufa é prejudicial para a vida humana, mas sem efeito estufa, a temperatura global da terra seria de 0 graus fahrenheit -18 graus celsius em vez de 59 graus f 15 graus c. #natureza"
1016365270494056448; "@exame porra só imbecis para ainda cair nesse papo furado de aquecimento global!"
1024076220911235072; "lógico que o aquecimento global não existe e nem o efeito estufa,todo mundo sabe disso"
1021498764983513088; "aquecimento global pode provocar 40 mil suicídios até 2050"
1017780222962421760; "que o futuro presidente tome isso como exemplo! nosso país é um grande emissor de gases do efeito estufa, precisamos reduzir isso... @jairbolsonaro @manueladavila @alvarodias_ @cirogomes @marinasilva @geraldoalckmin @guilhermeboulos @joaoamoedonovo @aldorebelo @rodrigomaia"
1014293287254003712; "se as pessoas entendessem que o problema do aquecimento global é mt mais relevante de se importar e discutir do que a vida sexual do coleguinha, o mundo seria bem melhor"
1021025811409920000; "@gugachacra aquecimento global por causas humanas não existe."
1022459535041155074; "@pirulla25 hur aquecimento global não existe seu fake news"
1014546065989754886; "cuidado! o que você comprar nos grandes supermercados, que escravizam os trabalhadores, pode ser veneno puro, que te matará pouco a pouco de maneira silenciosa. educação para criação de hortas orgânicas familiares já!"
